indentation(m),F_avg(N),F_std(N)
1.4866129850851814e-07,1.4636448439066528e-10,7.235465776038264e-11
1.4920188504854912e-07,1.476506394513236e-10,7.294657114671376e-11
1.497424715885801e-07,1.4893679451198181e-10,7.354544353940368e-11
1.5028305812861107e-07,1.5022294957264004e-10,7.41511063279384e-11
1.5082364466864204e-07,1.5150910463329816e-10,7.476339448427556e-11
1.5136423120867302e-07,1.5279525969395642e-10,7.538214656581592e-11
1.51904817748704e-07,1.5408141475461472e-10,7.6007204710037e-11
1.5244540428873497e-07,1.5536756981527287e-10,7.663841462152879e-11
1.5298599082876595e-07,1.5665372487593112e-10,7.727562555213523e-11
1.5352657736879692e-07,1.579398799365893e-10,7.791869027486822e-11
1.540671639088279e-07,1.5922603499724753e-10,7.856746505222399e-11
1.5460775044885888e-07,1.6051219005790586e-10,7.922180959949477e-11
1.5514833698888985e-07,1.6179834511856398e-10,7.98815870436319e-11
1.5568892352892083e-07,1.6308450017922218e-10,8.05466638781808e-11
1.562295100689518e-07,1.6437065523988043e-10,8.121690991477397e-11
1.5677009660898278e-07,1.6565681030053856e-10,8.189219823163224e-11
1.5731068314901375e-07,1.6694296536119689e-10,8.257240511949476e-11
1.5785126968904473e-07,1.682483219014254e-10,8.33110093356701e-11
1.583918562290757e-07,1.695686625831948e-10,8.409548699264555e-11
1.5893244276910668e-07,1.7090293478109623e-10,8.491894232895081e-11
1.5947302930913766e-07,1.7224946411824004e-10,8.577273265473241e-11
1.6001361584916863e-07,1.7361578376702852e-10,8.666776550795617e-11
1.605542023891996e-07,1.7499156651658246e-10,8.758760669742263e-11
1.6109478892923059e-07,1.763857693123586e-10,8.853917664139512e-11
1.6163537546926156e-07,1.77827824849097e-10,8.955691852639515e-11
1.6217596200929254e-07,1.7928477325975837e-10,9.059848514389582e-11
1.627165485493235e-07,1.8078256537986222e-10,9.167783378050588e-11
1.632571350893545e-07,1.82310703877528e-10,9.279190404802179e-11
1.6379772162938546e-07,1.8386668287949766e-10,9.392856507026169e-11
1.6433830816941644e-07,1.8544327055454136e-10,9.507977198900928e-11
1.6487889470944742e-07,1.8705762062930965e-10,9.624064515717104e-11
1.654194812494784e-07,1.8869176912412957e-10,9.74083259319273e-11
1.6596006778950937e-07,1.9034582022765415e-10,9.857976842520655e-11
1.6650065432954034e-07,1.920436524168003e-10,9.973996629032913e-11
1.6704124086957132e-07,1.9377129017952306e-10,1.0089374289802648e-10
1.675818274096023e-07,1.9551918094171411e-10,1.0204248270351705e-10
1.6812241394963325e-07,1.9729087376740136e-10,1.0318086634306935e-10
1.6866300048966422e-07,1.9908155941566831e-10,1.043101010566538e-10
1.692035870296952e-07,2.008972299454474e-10,1.0542358929091017e-10
1.6974417356972617e-07,2.0271718659375388e-10,1.065415352317935e-10
1.7028476010975715e-07,2.0454713914962e-10,1.0765325155001543e-10
1.7082534664978812e-07,2.063749448032515e-10,1.0877722762807388e-10
1.713659331898191e-07,2.0820130465753372e-10,1.0991197899715951e-10
1.7190651972985008e-07,2.1002766451181606e-10,1.1105486131831986e-10
1.7244710626988105e-07,2.1185402436609832e-10,1.1220562613580239e-10
1.7298769280991203e-07,2.1368038422038053e-10,1.1336403340284185e-10
1.73528279349943e-07,2.1550674407466287e-10,1.1452985122198846e-10
1.7406886588997398e-07,2.1733310392894513e-10,1.157028555880881e-10
1.7460945243000495e-07,2.191594637832274e-10,1.1688283013463572e-10
1.7515003897003593e-07,2.2098582363750963e-10,1.1806956588411438e-10
1.756906255100669e-07,2.2283120967733748e-10,1.1932444355080855e-10
1.7623121205009788e-07,2.2469979685918637e-10,1.2066213461159132e-10
1.7677179859012886e-07,2.2658518824584258e-10,1.220524657590576e-10
1.7731238513015983e-07,2.2852193687051033e-10,1.2358716533924933e-10
1.778529716701908e-07,2.3047392804927608e-10,1.2516639248027402e-10
1.7839355821022179e-07,2.3247124992142897e-10,1.268595425570824e-10
1.7893414475025276e-07,2.3448176486838466e-10,1.2859049592587864e-10
1.7947473129028374e-07,2.3649227981534056e-10,1.3033191132731522e-10
1.8001531783031471e-07,2.3850279476229636e-10,1.3208337496102766e-10
1.805559043703457e-07,2.4053916650449753e-10,1.3388700376037337e-10
1.8109649091037666e-07,2.426237989550009e-10,1.3577484619428395e-10
1.8163707745040764e-07,2.447143988499943e-10,1.376812233189706e-10
1.8217766399043862e-07,2.4684549477979167e-10,1.3964466930896395e-10
1.827182505304696e-07,2.4899442849671765e-10,1.4163687975889378e-10
1.8325883707050057e-07,2.511531732922412e-10,1.436496900261983e-10
1.8379942361053154e-07,2.5331164766654173e-10,1.456729502135168e-10
1.8434001015056252e-07,2.5549601742643783e-10,1.4772041795028397e-10
1.848805966905935e-07,2.5771574084514337e-10,1.4979528706405288e-10
1.8542118323062447e-07,2.5995617502402357e-10,1.5188571861955513e-10
1.8596176977065545e-07,2.622211318410491e-10,1.5398934946594053e-10
1.8650235631068642e-07,2.645205035997348e-10,1.56102790484914e-10
1.870429428507174e-07,2.668299854615205e-10,1.5822230278804269e-10
1.8758352939074837e-07,2.69182500894001e-10,1.6034420206090574e-10
1.8812411593077932e-07,2.7157893284723833e-10,1.624653703363999e-10
1.886647024708103e-07,2.7401215915806194e-10,1.6458073529133136e-10
1.8920528901084128e-07,2.764760684861006e-10,1.666904908037775e-10
1.8974587555087225e-07,2.7899486193116737e-10,1.6890354391696061e-10
1.9028646209090323e-07,2.8154802831110035e-10,1.7119141765861277e-10
1.908270486309342e-07,2.8413023899113575e-10,1.7346753449819988e-10
1.9136763517096518e-07,2.8672964051522196e-10,1.757435842420106e-10
1.9190822171099616e-07,2.8938033318086717e-10,1.7819835354611916e-10
1.9244880825102713e-07,2.920893737973326e-10,1.8080325667781253e-10
1.929893947910581e-07,2.948016519729747e-10,1.834176539806754e-10
1.9352998133108908e-07,2.975198569524791e-10,1.8603575446953956e-10
1.9407056787112006e-07,3.002536201854631e-10,1.887044518003421e-10
1.9461115441115103e-07,3.030017768261238e-10,1.9140279695124102e-10
1.95151740951182e-07,3.057636386922933e-10,1.9411841555772551e-10
1.9569232749121299e-07,3.085373052687781e-10,1.968675569252601e-10
1.9623291403124396e-07,3.1131162900354334e-10,1.9962758277699226e-10
1.9677350057127494e-07,3.1409268770178557e-10,2.0240836006419946e-10
1.9731408711130591e-07,3.168829559886729e-10,2.0521331524790098e-10
1.978546736513369e-07,3.1968462666175457e-10,2.0804519878350377e-10
1.9839526019136787e-07,3.224862973348361e-10,2.108850555190989e-10
1.9893584673139884e-07,3.252879680079177e-10,2.13732567636081e-10
1.9947643327142982e-07,3.280896386809991e-10,2.1658743319482565e-10
2.000170198114608e-07,3.3089130935408074e-10,2.1944936520784652e-10
2.0055760635149177e-07,3.3373084568747315e-10,2.2236131625990863e-10
2.0109819289152274e-07,3.3659282137216176e-10,2.253029088948655e-10
