Z(m),F_avg(N),F_std(N)
-2.4667221471301872e-05,-3.86026133514986e-10,7.602493447604489e-11
-2.4567197236764844e-05,-3.852758067624429e-10,7.593575399580463e-11
-2.446717300222782e-05,-3.8405933610504816e-10,7.580347552457589e-11
-2.4367148767690792e-05,-3.8470311397856393e-10,7.618437438823405e-11
-2.4267124533153768e-05,-3.83545789284976e-10,7.647749465057467e-11
-2.416710029861674e-05,-3.848636271702927e-10,7.620680819479056e-11
-2.4067076064079716e-05,-3.836661966336461e-10,7.614917361687477e-11
-2.3967051829542688e-05,-3.830167104658521e-10,7.534619333726113e-11
-2.3867027595005664e-05,-3.8226125279600785e-10,7.469059691089467e-11
-2.376700336046864e-05,-3.825141519181702e-10,7.575313590147404e-11
-2.3666979125931612e-05,-3.8203480220163323e-10,7.569321057762091e-11
-2.3566954891394588e-05,-3.821972509099076e-10,7.507702795536142e-11
-2.346693065685756e-05,-3.819319316379505e-10,7.369825865725978e-11
-2.3366906422320536e-05,-3.8233140987328486e-10,7.41998137556081e-11
-2.3266882187783508e-05,-3.815322427836084e-10,7.553455921248763e-11
-2.3166857953246484e-05,-3.814164462912673e-10,7.418057953440413e-11
-2.3066833718709456e-05,-3.8003141518941906e-10,7.429794280095727e-11
-2.296680948417243e-05,-3.8043972261500854e-10,7.513810016069081e-11
-2.2866785249635407e-05,-3.7911900668238103e-10,7.490226467843227e-11
-2.276676101509838e-05,-3.797463423476844e-10,7.455102146761644e-11
-2.2666736780561355e-05,-3.7987656861079086e-10,7.453343431050058e-11
-2.2566712546024327e-05,-3.794225088638708e-10,7.409931289903059e-11
-2.2466688311487303e-05,-3.795733146658564e-10,7.287322120365468e-11
-2.2366664076950275e-05,-3.78851700598092e-10,7.44585315099488e-11
-2.226663984241325e-05,-3.7888043412306475e-10,7.436492390133909e-11
-2.2166615607876223e-05,-3.7810748792185573e-10,7.441872187108895e-11
-2.20665913733392e-05,-3.790608597168379e-10,7.462990960851915e-11
-2.196656713880217e-05,-3.7783323282400375e-10,7.3269986499151e-11
-2.1866542904265147e-05,-3.7782778943623263e-10,7.501799233326088e-11
-2.1766518669728123e-05,-3.7633898642001376e-10,7.533831505680024e-11
-2.1666494435191095e-05,-3.772859186883632e-10,7.558685291587574e-11
-2.156647020065407e-05,-3.7686959644783384e-10,7.518106490848914e-11
-2.1466445966117043e-05,-3.7665540667446887e-10,7.612130258823878e-11
-2.136642173158002e-05,-3.766078783137518e-10,7.427932084561932e-11
-2.126639749704299e-05,-3.7660316323454057e-10,7.45774261536905e-11
-2.1166373262505967e-05,-3.751597321713986e-10,7.554229120445054e-11
-2.106634902796894e-05,-3.7641211561984677e-10,7.53042090285588e-11
-2.0966324793431915e-05,-3.7542305605457705e-10,7.551302087676336e-11
-2.086630055889489e-05,-3.7420359570608897e-10,7.532333317445788e-11
-2.0766276324357863e-05,-3.7514367321991093e-10,7.46913892459668e-11
-2.066625208982084e-05,-3.73794999691731e-10,7.55102524473852e-11
-2.056622785528381e-05,-3.7360983286606686e-10,7.479025208727003e-11
-2.0466203620746786e-05,-3.7412969252970975e-10,7.511688724620713e-11
-2.036617938620976e-05,-3.7308606101421734e-10,7.499776813954103e-11
-2.0266155151672734e-05,-3.7245192884652404e-10,7.583023542149946e-11
-2.0166130917135707e-05,-3.720483099035568e-10,7.49179227660475e-11
-2.0066106682598682e-05,-3.7129671169691173e-10,7.441807358791939e-11
-1.9966082448061655e-05,-3.714635030475545e-10,7.600681569446058e-11
-1.986605821352463e-05,-3.700651318529247e-10,7.650652778118277e-11
-1.9766033978987606e-05,-3.7081154718148966e-10,7.57183890623784e-11
-1.966600974445058e-05,-3.6829454376216026e-10,7.543715874723977e-11
-1.9565985509913554e-05,-3.697135425477302e-10,7.534582288966513e-11
-1.9465961275376526e-05,-3.687482337597171e-10,7.552389735845988e-11
-1.9365937040839502e-05,-3.6802807180945997e-10,7.623375562789088e-11
-1.9265912806302474e-05,-3.6805637575313104e-10,7.539413445769717e-11
-1.916588857176545e-05,-3.6758454694151767e-10,7.532474515898577e-11
-1.9065864337228422e-05,-3.674790464325761e-10,7.439408369345557e-11
-1.8965840102691398e-05,-3.6645364742745076e-10,7.406694646678458e-11
-1.886581586815437e-05,-3.660700773457095e-10,7.65697893860598e-11
-1.876579163361735e-05,-3.6561644471568133e-10,7.631400336099797e-11
